profile,image,outcome,race_scores
43fbd34c-d166-41e4-8711-3338d81a4e59,image_3.png,1,"[2.0527989e-01 6.3658849e-04 7.6523423e-01 8.1228791e-05 5.0452881e-04
 1.3984331e-02 1.4279174e-02]"
43fbd34c-d166-41e4-8711-3338d81a4e59,image_4.png,0,"[9.8825312e-01 1.2037484e-06 2.1718706e-03 3.2198356e-04 9.6181662e-05
 8.1008293e-05 9.0746609e-03]"
43fbd34c-d166-41e4-8711-3338d81a4e59,image_5.png,1,"[7.1559042e-01 7.0829678e-04 2.0399371e-01 1.6349781e-02 2.4186237e-02
 2.1906584e-03 3.6980890e-02]"
43fbd34c-d166-41e4-8711-3338d81a4e59,image_6.png,1,"[7.1907520e-01 2.6259880e-04 1.2980327e-01 2.7435660e-04 8.3873048e-04
 1.9151798e-03 1.4783058e-01]"
dd58c299-85a5-4edd-adec-fbd17c9e5d19,image_0.png,-1,"[6.3459724e-01 1.7125883e-04 1.6277300e-01 1.1400650e-01 4.6313837e-02
 1.1035039e-02 3.1103188e-02]"
dd58c299-85a5-4edd-adec-fbd17c9e5d19,image_1.png,-1,"[9.9731195e-01 1.2057494e-07 1.6785281e-04 5.6757694e-05 1.1951131e-05
 6.0535494e-06 2.4453385e-03]"
dd58c299-85a5-4edd-adec-fbd17c9e5d19,image_2.png,-1,"[4.12600368e-01 7.33293346e-05 4.57500428e-01 1.26555050e-02
 3.96797573e-03 4.26743971e-03 1.08934976e-01]"
dd58c299-85a5-4edd-adec-fbd17c9e5d19,image_3.png,-1,"[7.9269814e-01 9.3875369e-06 5.0789785e-02 3.0439557e-03 1.3189361e-03
 1.1425713e-03 1.5099724e-01]"
dd58c299-85a5-4edd-adec-fbd17c9e5d19,image_4.png,-1,"[6.3459724e-01 1.7125883e-04 1.6277300e-01 1.1400650e-01 4.6313837e-02
 1.1035039e-02 3.1103188e-02]"
118609e8-f93c-46d5-b964-b39cf2bd5ddc,image_0.png,-1,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]"
118609e8-f93c-46d5-b964-b39cf2bd5ddc,image_1.png,-1,"[6.2126446e-01 1.3072453e-02 2.8976724e-01 3.4585348e-04 1.0002822e-03
 1.7711938e-03 7.2778493e-02]"
118609e8-f93c-46d5-b964-b39cf2bd5ddc,image_2.png,-1,"[0.06289073 0.02131136 0.08697705 0.01834233 0.42012015 0.09818291
 0.29217544]"
118609e8-f93c-46d5-b964-b39cf2bd5ddc,image_3.png,-1,"[0.63944525 0.01646852 0.04832257 0.02060679 0.00768917 0.00912593
 0.25834173]"
118609e8-f93c-46d5-b964-b39cf2bd5ddc,image_4.png,-1,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]"
118609e8-f93c-46d5-b964-b39cf2bd5ddc,image_5.png,0,"[4.7070093e-02 2.0729750e-03 9.1996408e-01 7.9742027e-04 7.3999600e-03
 1.5956296e-02 6.7391153e-03]"
dbb26529-ac22-40c1-9d07-03acb9a20dd7,image_0.png,0,"[0.7161399  0.19970861 0.0239189  0.0007674  0.00147342 0.00317848
 0.0548133 ]"
dbb26529-ac22-40c1-9d07-03acb9a20dd7,image_1.png,-1,"[1.3717866e-05 9.9748796e-01 5.3271709e-04 2.3948825e-05 1.1447815e-03
 7.8752678e-04 9.3646659e-06]"
dbb26529-ac22-40c1-9d07-03acb9a20dd7,image_2.png,-1,"[7.1031455e-04 9.7078639e-01 2.4158577e-02 4.4346231e-04 1.1529386e-03
 2.5957713e-03 1.5254048e-04]"
dbb26529-ac22-40c1-9d07-03acb9a20dd7,image_3.png,-1,"[1.7817078e-05 9.9862891e-01 8.7313057e-04 4.2630742e-05 9.7051685e-05
 3.3816230e-04 2.3169555e-06]"
dbb26529-ac22-40c1-9d07-03acb9a20dd7,image_4.png,-1,"[7.1361996e-03 9.0657407e-01 8.0469400e-02 2.0275496e-04 4.3759597e-04
 4.0692529e-03 1.1107816e-03]"
eb0e1a40-5ba9-4546-ab5a-a23e8d1b3965,image_0.png,-1,"[9.9709284e-01 8.1620549e-08 4.3111725e-04 2.7579869e-04 9.4916999e-05
 2.4227473e-05 2.0809718e-03]"
eb0e1a40-5ba9-4546-ab5a-a23e8d1b3965,image_1.png,-1,"[9.9932516e-01 2.6146827e-07 3.4307373e-05 7.1510258e-05 5.0065581e-05
 3.0074216e-06 5.1573600e-04]"
eb0e1a40-5ba9-4546-ab5a-a23e8d1b3965,image_2.png,-1,"[4.8655745e-01 6.4461833e-06 7.8331670e-03 4.3597201e-01 6.3731484e-02
 3.7119281e-04 5.5281869e-03]"
eb0e1a40-5ba9-4546-ab5a-a23e8d1b3965,image_3.png,-1,"[9.46973383e-01 6.10358200e-07 1.11984424e-02 1.02942184e-04
 2.05289587e-04 2.02205061e-04 4.13170457e-02]"
eb0e1a40-5ba9-4546-ab5a-a23e8d1b3965,image_4.png,-1,"[9.9966872e-01 3.9029879e-07 9.9823861e-05 3.1831128e-06 2.5669974e-06
 1.3885782e-06 2.2397059e-04]"
d8686402-f8ed-40c9-bb44-9f8517ea7e28,image_0.png,-1,"[0.48403814 0.0300227  0.19184695 0.00057699 0.00067196 0.10017872
 0.19266453]"
d8686402-f8ed-40c9-bb44-9f8517ea7e28,image_1.png,-1,"[3.4865469e-02 5.1136953e-01 3.1289703e-01 2.9010673e-05 1.0034491e-04
 6.5360665e-02 7.5377926e-02]"
d8686402-f8ed-40c9-bb44-9f8517ea7e28,image_2.png,-1,"[8.8701852e-02 5.4216599e-01 3.3255190e-01 1.0648291e-04 5.4354162e-04
 1.7138528e-02 1.8791737e-02]"
d8686402-f8ed-40c9-bb44-9f8517ea7e28,image_3.png,-1,"[1.5296901e-02 5.5383712e-01 2.9636568e-01 8.5398868e-05 3.9636006e-04
 9.8886646e-02 3.5131820e-02]"
d8686402-f8ed-40c9-bb44-9f8517ea7e28,image_4.png,-1,"[1.8592486e-03 9.6415114e-01 2.2561319e-02 6.8170157e-05 8.0289954e-04
 1.0153475e-02 4.0370048e-04]"
d8686402-f8ed-40c9-bb44-9f8517ea7e28,image_5.png,-1,"[0.03508153 0.04971064 0.21912076 0.00085574 0.00161146 0.08746377
 0.6061562 ]"
d8686402-f8ed-40c9-bb44-9f8517ea7e28,image_6.png,-1,"[0.48403814 0.0300227  0.19184695 0.00057699 0.00067196 0.10017872
 0.19266453]"
13ca8973-4643-44c4-8e29-e094cb0784e5,image_0.png,-1,"[5.4306001e-03 2.0891526e-05 2.9906761e-03 7.5968426e-01 2.3149073e-01
 3.4208913e-04 4.0733466e-05]"
13ca8973-4643-44c4-8e29-e094cb0784e5,image_1.png,-1,"[8.1321672e-03 1.3344928e-04 5.7788929e-03 9.0665150e-01 7.8041650e-02
 9.1874135e-05 1.1704203e-03]"
13ca8973-4643-44c4-8e29-e094cb0784e5,image_2.png,-1,"[4.7686660e-01 1.2579461e-05 3.7621260e-03 1.5327786e-01 3.5146731e-01
 7.0050161e-04 1.3912963e-02]"
13ca8973-4643-44c4-8e29-e094cb0784e5,image_3.png,-1,"[0.02799973 0.00156969 0.01971252 0.8204054  0.12473931 0.00127098
 0.00430237]"
13ca8973-4643-44c4-8e29-e094cb0784e5,image_4.png,-1,"[2.5831072e-03 2.2348194e-04 2.2556321e-03 8.2373768e-01 1.7103681e-01
 1.4660832e-04 1.6626844e-05]"
13ca8973-4643-44c4-8e29-e094cb0784e5,image_5.png,-1,"[0.06698384 0.00355882 0.01813489 0.6014962  0.28149506 0.00608929
 0.02224192]"
13ca8973-4643-44c4-8e29-e094cb0784e5,image_6.png,-1,"[5.4306001e-03 2.0891526e-05 2.9906761e-03 7.5968426e-01 2.3149073e-01
 3.4208913e-04 4.0733466e-05]"
4fe2d097-f505-4ad3-8a72-72adca689d55,image_0.png,1,"[7.28700399e-01 8.00392518e-05 1.46890402e-01 4.15002648e-03
 1.63941470e-03 4.49104793e-03 1.14048645e-01]"
4fe2d097-f505-4ad3-8a72-72adca689d55,image_1.png,1,"[6.2388420e-01 6.6376313e-05 6.0691066e-02 1.9876644e-02 5.6245080e-03
 2.7276257e-03 2.8712964e-01]"
4fe2d097-f505-4ad3-8a72-72adca689d55,image_2.png,0,"[4.8406693e-01 2.4536652e-05 5.8704973e-03 1.1072220e-04 5.2907963e-05
 2.6849200e-04 5.0960594e-01]"
4fe2d097-f505-4ad3-8a72-72adca689d55,image_3.png,1,"[8.5708421e-01 2.3436154e-05 2.9983303e-02 2.4351710e-02 2.9718345e-03
 6.0070766e-04 8.4984668e-02]"
4fe2d097-f505-4ad3-8a72-72adca689d55,image_4.png,0,"[9.8512477e-01 3.2910265e-07 6.8399921e-04 1.2722703e-02 8.2586973e-04
 3.8705170e-06 6.3843827e-04]"
4fe2d097-f505-4ad3-8a72-72adca689d55,image_5.png,1,"[7.28700399e-01 8.00392518e-05 1.46890402e-01 4.15002648e-03
 1.63941470e-03 4.49104793e-03 1.14048645e-01]"
a5acd1d1-3f3f-4dd9-9104-825410f48c80,image_0.png,1,"[1.7089006e-01 5.5026849e-05 6.1454844e-02 1.5300369e-01 3.0869493e-02
 5.7826299e-02 5.2590054e-01]"
a5acd1d1-3f3f-4dd9-9104-825410f48c80,image_1.png,1,"[0.03800493 0.05124842 0.27584678 0.00335043 0.01104795 0.07244425
 0.54805726]"
a5acd1d1-3f3f-4dd9-9104-825410f48c80,image_2.png,1,"[8.3624703e-01 5.3108674e-06 1.7861869e-02 1.1372204e-03 6.1929983e-04
 2.8168748e-03 1.4131236e-01]"
a5acd1d1-3f3f-4dd9-9104-825410f48c80,image_3.png,1,"[5.4258209e-01 3.2925789e-05 5.7318725e-02 1.1982728e-02 4.9999179e-03
 2.1221223e-03 3.8096151e-01]"
a5acd1d1-3f3f-4dd9-9104-825410f48c80,image_4.png,1,"[2.4509604e-01 2.8428683e-04 2.1552376e-01 1.1629617e-01 5.6442693e-02
 1.5306235e-02 3.5105085e-01]"
b09e6c00-2a87-441d-aaad-e758f13aa777,image_0.png,1,"[9.3913126e-01 3.2935699e-05 6.6038719e-03 3.4618389e-03 2.0823034e-03
 8.3126174e-04 4.7856510e-02]"
b09e6c00-2a87-441d-aaad-e758f13aa777,image_1.png,-1,"[9.5437509e-01 1.7035296e-05 4.4232658e-03 1.2245908e-04 7.4833770e-05
 8.2282859e-05 4.0904995e-02]"
b09e6c00-2a87-441d-aaad-e758f13aa777,image_2.png,-1,"[9.7710395e-01 6.0879469e-05 1.0874187e-02 1.1496820e-04 1.0752375e-04
 1.1206835e-04 1.1626555e-02]"
b09e6c00-2a87-441d-aaad-e758f13aa777,image_3.png,0,"[7.3506856e-01 1.0117351e-04 6.4885631e-02 3.2816916e-03 1.8978612e-03
 5.3502637e-04 1.9422998e-01]"
b09e6c00-2a87-441d-aaad-e758f13aa777,image_4.png,-1,"[8.0051970e-01 6.0137470e-05 9.5971324e-02 2.7943972e-02 8.1782350e-03
 3.1528118e-04 6.7011327e-02]"
b09e6c00-2a87-441d-aaad-e758f13aa777,image_5.png,-1,"[1.66765660e-01 1.05249790e-04 4.79158433e-03 7.87494183e-01
 3.29546593e-02 1.18317694e-04 7.77033251e-03]"
b09e6c00-2a87-441d-aaad-e758f13aa777,image_6.png,-1,"[9.3913126e-01 3.2935699e-05 6.6038719e-03 3.4618389e-03 2.0823034e-03
 8.3126174e-04 4.7856510e-02]"
f5b975dd-b3ee-4631-a186-a4c5ef15553c,image_0.png,-1,"[4.5379647e-03 1.4634464e-04 1.0532765e-01 5.3479171e-01 3.4956613e-01
 4.7064488e-04 5.1594884e-03]"
f5b975dd-b3ee-4631-a186-a4c5ef15553c,image_1.png,-1,"[8.9770699e-01 3.3877117e-05 2.7099757e-02 2.2664307e-04 1.8882082e-04
 3.1540738e-04 7.4428394e-02]"
f5b975dd-b3ee-4631-a186-a4c5ef15553c,image_2.png,-1,"[0.01123729 0.00390734 0.3186252  0.04558723 0.34093925 0.2595209
 0.02018281]"
f5b975dd-b3ee-4631-a186-a4c5ef15553c,image_3.png,0,"[1.3147874e-01 2.1056348e-04 6.4754862e-01 4.6691816e-02 1.1795656e-01
 2.2938289e-02 3.3175383e-02]"
f5b975dd-b3ee-4631-a186-a4c5ef15553c,image_4.png,-1,"[0.11762722 0.00443757 0.7824031  0.01059776 0.0598921  0.01244172
 0.01260053]"
f5b975dd-b3ee-4631-a186-a4c5ef15553c,image_5.png,1,"[0.10307005 0.00048726 0.3313711  0.30479732 0.22169665 0.0115614
 0.02701629]"
4f7ad553-5224-4f39-a234-ba519b5275a5,image_0.png,0,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]"
4f7ad553-5224-4f39-a234-ba519b5275a5,image_1.png,-1,"[9.8372513e-01 4.2424008e-06 1.0323295e-03 5.8700383e-04 1.7358134e-04
 3.4289991e-05 1.4443414e-02]"
4f7ad553-5224-4f39-a234-ba519b5275a5,image_2.png,0,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]"
4f7ad553-5224-4f39-a234-ba519b5275a5,image_3.png,0,"[0.34864613 0.18759567 0.15016109 0.02143212 0.01910949 0.08260306
 0.19045244]"
4f7ad553-5224-4f39-a234-ba519b5275a5,image_4.png,1,"[9.9890995e-01 2.5508453e-07 8.1654704e-05 1.2560587e-04 3.9374641e-05
 3.3709653e-06 8.3985424e-04]"
832d457e-9156-4898-9d4b-ef7bdb19cb79,image_0.png,-1,"[9.9534357e-01 1.2924498e-06 6.0372794e-04 9.3453536e-06 4.6232464e-05
 1.1962400e-05 3.9839204e-03]"
832d457e-9156-4898-9d4b-ef7bdb19cb79,image_1.png,0,"[7.9122251e-01 1.6042148e-04 1.5677053e-01 2.1183382e-04 1.0535984e-03
 1.4272792e-02 3.6308289e-02]"
832d457e-9156-4898-9d4b-ef7bdb19cb79,image_2.png,-1,"[9.9181265e-01 3.7158192e-05 1.6226214e-03 4.6215791e-05 6.8125482e-05
 3.8602186e-05 6.3746227e-03]"
832d457e-9156-4898-9d4b-ef7bdb19cb79,image_3.png,-1,"[9.9934953e-01 9.3433738e-07 1.3389079e-04 1.0700206e-06 4.9499486e-06
 3.4741220e-06 5.0619536e-04]"
832d457e-9156-4898-9d4b-ef7bdb19cb79,image_4.png,-1,"[9.8781490e-01 2.9772850e-06 2.4263228e-03 6.4792181e-04 2.8137409e-04
 5.7224592e-05 8.7693650e-03]"
832d457e-9156-4898-9d4b-ef7bdb19cb79,image_5.png,-1,"[9.8242158e-01 5.5386514e-05 2.2041311e-03 3.8845169e-03 4.6713534e-03
 1.3677770e-04 6.6262200e-03]"
832d457e-9156-4898-9d4b-ef7bdb19cb79,image_6.png,-1,"[9.9534357e-01 1.2924498e-06 6.0372794e-04 9.3453536e-06 4.6232464e-05
 1.1962400e-05 3.9839204e-03]"
6d391558-f164-4054-8554-d73f923cdf34,image_0.png,1,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]"
6d391558-f164-4054-8554-d73f923cdf34,image_1.png,1,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]"
6d391558-f164-4054-8554-d73f923cdf34,image_2.png,1,"[0.44682312 0.00069102 0.29042092 0.03469997 0.0512049  0.04501329
 0.13114682]"
6d391558-f164-4054-8554-d73f923cdf34,image_3.png,1,"[0.11792862 0.00189967 0.63485587 0.05056071 0.05649404 0.04487271
 0.09338834]"
6fb72a2e-7f8e-4a57-99f5-2332ec34c539,image_0.png,-1,"[4.6330414e-04 9.0471941e-01 2.4453627e-02 9.5301640e-04 5.4737595e-03
 6.3416846e-02 5.1997509e-04]"
6fb72a2e-7f8e-4a57-99f5-2332ec34c539,image_1.png,-1,"[1.4011523e-05 9.8651534e-01 3.9985697e-04 1.7208233e-05 7.3452195e-04
 1.2317401e-02 1.6559618e-06]"
6fb72a2e-7f8e-4a57-99f5-2332ec34c539,image_2.png,-1,"[2.1444858e-04 9.8694777e-01 2.4099897e-03 1.1612609e-03 7.4086688e-03
 1.8522241e-03 5.6757444e-06]"
6fb72a2e-7f8e-4a57-99f5-2332ec34c539,image_3.png,-1,"[0.00242396 0.6670263  0.2243294  0.00139297 0.01784544 0.08244923
 0.00453272]"
af33b466-342f-4e31-a8a5-f6262f7e28e0,image_0.png,1,"[1.2629060e-01 8.1031123e-04 6.5633990e-02 1.6660719e-05 2.5283760e-05
 1.0639587e-02 7.9658359e-01]"
af33b466-342f-4e31-a8a5-f6262f7e28e0,image_1.png,1,"[5.1483506e-01 4.9141450e-05 2.6620168e-02 4.5706891e-04 1.4047665e-04
 3.0892610e-04 4.5758924e-01]"
af33b466-342f-4e31-a8a5-f6262f7e28e0,image_2.png,1,"[9.8314595e-01 4.6868659e-05 9.2214569e-03 2.3009391e-04 1.9679083e-04
 1.3607765e-04 7.0229527e-03]"
af33b466-342f-4e31-a8a5-f6262f7e28e0,image_3.png,1,"[9.0315646e-01 3.2321704e-04 3.2046054e-02 2.1513177e-04 2.2834151e-04
 3.0563439e-03 6.0974393e-02]"
af33b466-342f-4e31-a8a5-f6262f7e28e0,image_4.png,0,"[8.3819699e-01 9.5717560e-06 6.5245884e-03 5.3648627e-04 6.1461446e-04
 3.1756848e-04 1.5380026e-01]"
af33b466-342f-4e31-a8a5-f6262f7e28e0,image_5.png,1,"[7.7527887e-01 6.5438820e-05 1.2763673e-01 7.8979315e-04 9.0087566e-04
 4.7031781e-03 9.0625010e-02]"
af33b466-342f-4e31-a8a5-f6262f7e28e0,image_6.png,1,"[1.2629060e-01 8.1031123e-04 6.5633990e-02 1.6660719e-05 2.5283760e-05
 1.0639587e-02 7.9658359e-01]"
756acd32-711e-4ea6-8fbb-bc7ac5e722c8,image_0.png,-1,"[9.5045024e-01 3.8057103e-04 1.2651530e-02 3.8232505e-03 7.0864637e-03
 5.1161041e-04 2.5096297e-02]"
756acd32-711e-4ea6-8fbb-bc7ac5e722c8,image_1.png,-1,"[9.50850427e-01 1.42915105e-05 2.31703520e-02 7.10867753e-04
 5.92497131e-03 1.35703513e-03 1.79719925e-02]"
756acd32-711e-4ea6-8fbb-bc7ac5e722c8,image_2.png,-1,"[0.21328264 0.06729149 0.1542742  0.41770202 0.12944676 0.00241135
 0.01559155]"
756acd32-711e-4ea6-8fbb-bc7ac5e722c8,image_3.png,-1,"[9.8117340e-01 5.2127016e-06 1.1363286e-02 4.0387234e-04 1.3907611e-03
 4.3520494e-04 5.2282480e-03]"
756acd32-711e-4ea6-8fbb-bc7ac5e722c8,image_4.png,-1,"[9.5045024e-01 3.8057103e-04 1.2651530e-02 3.8232505e-03 7.0864637e-03
 5.1161041e-04 2.5096297e-02]"
80d7345f-f184-44e5-a4a7-7406b3a2137c,image_0.png,1,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]"
80d7345f-f184-44e5-a4a7-7406b3a2137c,image_1.png,1,"[0.10479875 0.00484383 0.6488722  0.00268203 0.00330415 0.15784219
 0.07765681]"
80d7345f-f184-44e5-a4a7-7406b3a2137c,image_2.png,1,"[0.02345023 0.01062385 0.2603116  0.00567792 0.01059013 0.6151068
 0.07423947]"
80d7345f-f184-44e5-a4a7-7406b3a2137c,image_3.png,0,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]"
80d7345f-f184-44e5-a4a7-7406b3a2137c,image_4.png,1,"[5.1323950e-01 8.1755973e-02 1.2565504e-01 1.5277715e-04 1.5336319e-04
 7.1576000e-03 2.7188569e-01]"
80d7345f-f184-44e5-a4a7-7406b3a2137c,image_5.png,1,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]"
ecf83220-d4fd-40d0-bb77-07ecd83aae8e,image_0.png,1,"[8.72930765e-01 7.09623913e-04 1.08356684e-01 2.08420024e-05
 6.97645883e-05 1.83254434e-03 1.60797294e-02]"
ecf83220-d4fd-40d0-bb77-07ecd83aae8e,image_1.png,1,"[9.9990696e-01 6.1475205e-08 1.4220361e-05 1.7097600e-06 3.6139236e-06
 5.7559379e-08 7.3315896e-05]"
ecf83220-d4fd-40d0-bb77-07ecd83aae8e,image_2.png,1,"[9.7133297e-01 7.6811429e-04 2.4594756e-02 9.7174248e-05 2.4971689e-04
 2.7236552e-04 2.6849248e-03]"
ecf83220-d4fd-40d0-bb77-07ecd83aae8e,image_3.png,1,"[9.948239e-01 8.212452e-06 7.423990e-04 3.938124e-06 9.615197e-06
 3.907847e-05 4.372850e-03]"
ecf83220-d4fd-40d0-bb77-07ecd83aae8e,image_4.png,1,"[9.8522651e-01 1.3708135e-05 1.0105435e-02 1.5437459e-05 1.7433049e-04
 8.9892848e-05 4.3746699e-03]"
ecf83220-d4fd-40d0-bb77-07ecd83aae8e,image_5.png,0,"[9.1768849e-01 7.6065162e-06 2.2868973e-03 4.2726216e-03 5.5156229e-04
 9.3597111e-05 7.5099252e-02]"
ecf83220-d4fd-40d0-bb77-07ecd83aae8e,image_6.png,1,"[8.72930765e-01 7.09623913e-04 1.08356684e-01 2.08420024e-05
 6.97645883e-05 1.83254434e-03 1.60797294e-02]"
80adde2d-cfa5-44d7-aab3-45d8452b6e23,image_0.png,0,"[3.6410320e-01 5.1171432e-05 2.7815660e-02 2.6348259e-02 9.1700135e-03
 1.9248241e-03 5.7058686e-01]"
80adde2d-cfa5-44d7-aab3-45d8452b6e23,image_1.png,1,"[4.2809454e-01 2.3533629e-04 1.8268162e-02 4.2371103e-01 3.9277483e-02
 6.7929472e-03 8.3620399e-02]"
80adde2d-cfa5-44d7-aab3-45d8452b6e23,image_2.png,1,"[4.0483120e-01 5.4400505e-05 9.8857237e-03 5.3874747e-04 5.1162206e-04
 1.7095139e-02 5.6708324e-01]"
80adde2d-cfa5-44d7-aab3-45d8452b6e23,image_3.png,1,"[0.5950329  0.00148369 0.10510222 0.01221004 0.00769079 0.05754745
 0.22093295]"
80adde2d-cfa5-44d7-aab3-45d8452b6e23,image_4.png,-1,"[2.4291772e-01 2.6819018e-05 1.3092579e-02 2.5337448e-03 6.2918366e-04
 8.5571612e-04 7.3994422e-01]"
17bf2e60-6ee2-41b1-baf5-7f7d2f4e3a17,image_0.png,-1,"[0.25558457 0.05657991 0.56754875 0.00162739 0.00191454 0.00995949
 0.10678535]"
17bf2e60-6ee2-41b1-baf5-7f7d2f4e3a17,image_1.png,-1,"[0.09035458 0.4960245  0.37205705 0.00468586 0.00514474 0.01516348
 0.01656979]"
17bf2e60-6ee2-41b1-baf5-7f7d2f4e3a17,image_2.png,0,"[6.41955733e-01 9.04944073e-03 3.13450158e-01 1.14593124e-04
 3.50475748e-04 8.09719041e-03 2.69824825e-02]"
17bf2e60-6ee2-41b1-baf5-7f7d2f4e3a17,image_3.png,0,"[6.20268703e-01 1.50962435e-02 3.06308955e-01 3.49467300e-05
 1.55048416e-04 3.68997604e-02 2.12363862e-02]"
17bf2e60-6ee2-41b1-baf5-7f7d2f4e3a17,image_4.png,-1,"[2.3122880e-01 1.7885536e-04 8.8755459e-02 1.9988564e-03 2.4898723e-03
 7.0887962e-03 6.6825932e-01]"
38f07299-d960-4b43-8f5a-492ba19f285a,image_0.png,-1,"[8.64090383e-01 6.71737189e-06 2.74026934e-02 1.01601865e-04
 1.32317567e-04 5.12126554e-03 1.03145011e-01]"
38f07299-d960-4b43-8f5a-492ba19f285a,image_1.png,-1,"[0.2608053  0.00771855 0.41904756 0.0825519  0.03667799 0.0175483
 0.1756504 ]"
38f07299-d960-4b43-8f5a-492ba19f285a,image_2.png,0,"[6.7663026e-01 1.4512298e-05 1.1307897e-02 1.2902677e-01 9.0414621e-03
 4.1252188e-04 1.7356656e-01]"
38f07299-d960-4b43-8f5a-492ba19f285a,image_3.png,-1,"[9.3017286e-01 6.1994579e-05 1.4855924e-02 1.2237298e-03 4.6420260e-04
 1.2054441e-04 5.3100601e-02]"
38f07299-d960-4b43-8f5a-492ba19f285a,image_4.png,-1,"[0.7006234  0.01833144 0.10705452 0.05065396 0.01338053 0.0100203
 0.09993573]"
38f07299-d960-4b43-8f5a-492ba19f285a,image_5.png,-1,"[4.9187088e-01 5.6162694e-06 7.2302562e-03 1.2782350e-03 6.2368310e-04
 6.3306448e-04 4.9835828e-01]"
38f07299-d960-4b43-8f5a-492ba19f285a,image_6.png,-1,"[8.64090383e-01 6.71737189e-06 2.74026934e-02 1.01601865e-04
 1.32317567e-04 5.12126554e-03 1.03145011e-01]"
